"","airport_id","name","city","country","iata","iaco","latitude","longitude","altitude","zone","dst","timezone"
"6952",85,"Mallacoota Airport","Mallacoota","Australia","XMC","YMCO",-37.598301,149.720001,31,11,"U","UTC+11"
"5170",86,"Maningrida Airport","","Australia","MNG","YMGD",-12.0561,134.234,123,9.5,"O","UTC+9:30"
"3232",87,"Maroochydore Sunshine Coast","Maroochydore","Australia","MCY","YBMC",-26.603333,153.091111,15,10,"O","UTC+10"
"5180",88,"Maryborough Airport","","Australia","MBH","YMYB",-25.5133,152.715,38,10,"O","UTC+10"
"5171",89,"McArthur River Mine Airport","","Australia","MCV","YMHU",-16.4425,136.084,131,9.5,"O","UTC+9:30"
"5167",90,"Meekatharra Airport","","Australia","MKR","YMEK",-26.6117,118.548,1713,8,"O","UTC+8"
"3240",91,"Melbourne Essendon","Melbourne","Australia","MEB","YMEN",-37.728056,144.901944,282,10,"O","UTC+10"
"3245",92,"Melbourne Intl","Melbourne","Australia","MEL","YMML",-37.673333,144.843333,434,10,"O","UTC+10"
"3244",93,"Melbourne Moorabbin","Melbourne","Australia","MBW","YMMB",-37.975833,145.102222,50,10,"O","UTC+10"
"5168",94,"Merimbula Airport","","Australia","MIM","YMER",-36.9086,149.901,7,10,"O","UTC+10"
"5172",95,"Mildura Airport","","Australia","MQL","YMIA",-34.2292,142.086,167,10,"O","UTC+10"
"5169",96,"Milingimbi Airport","","Australia","MGT","YMGB",-12.0944,134.894,53,9.5,"O","UTC+9:30"
"5175",97,"Moranbah Airport","","Australia","MOV","YMRB",-22.0578,148.077,770,10,"O","UTC+10"
"6143",98,"Morawa Airport","Morawa","Australia","MWB","",-29.211,116.009,899,8,"U","UTC+8"
"5174",99,"Moree Airport","","Australia","MRZ","YMOR",-29.4989,149.845,701,10,"O","UTC+10"
"5176",100,"Moruya Airport","","Australia","MYA","YMRY",-35.8978,150.144,14,10,"O","UTC+10"
"5177",101,"Mount Gambier Airport","","Australia","MGB","YMTG",-37.7456,140.785,212,9.5,"O","UTC+9:30"
"5148",102,"Mount Hotham Airport","","Australia","MHU","YHOT",-37.0475,147.334,4260,10,"O","UTC+10"
"3231",103,"Mount Isa","Mount Isa","Australia","ISA","YBMA",-20.663889,139.488611,1121,10,"O","UTC+10"
"5291",104,"Mount Keith","Mount Keith","Australia","WME","YMNE",-27.286389,120.554722,1792,8,"O","UTC+8"
"5173",105,"Mount Magnet Airport","","Australia","MMG","YMOG",-28.1161,117.842,1354,8,"O","UTC+8"
"2047",106,"Mudgee Airport","Mudgee","Australia","DGE","YMDG",-32.5625,149.611,1545,10,"O","UTC+10"
"5182",107,"Narrabri Airport","","Australia","NAA","YNBR",-30.3192,149.827,788,10,"O","UTC+10"
"5181",108,"Narrandera Airport","","Australia","NRA","YNAR",-34.7022,146.512,474,10,"O","UTC+10"
"4208",109,"Newcastle Airport","Newcastle","Australia","NTL","YWLM",-32.78,151.83,31,10,"O","UTC+10"
"5184",110,"Newman Airport","Newman","Australia","ZNE","YNWN",-23.4178,119.803,1724,8,"O","UTC+8"
"5183",111,"Normanton Airport","","Australia","NTN","YNTN",-17.6836,141.07,73,10,"O","UTC+10"
"5430",112,"Nowra Airport","Nowra","Australia","NOA","YSNW",-34.9489,150.537,400,10,"O","UTC+10"
"5121",113,"Oakey Airport","Oakey","Australia","OKY","YBOK",-27.411389,151.735278,1335,10,"O","UTC+10"
"5185",114,"Olympic Dam Airport","","Australia","OLP","YOLD",-30.485,136.877,343,9.5,"O","UTC+9:30"
"5440",115,"Orange Airport","","Australia","OAG","YORG",-33.3817,149.133,3115,10,"U","UTC+10"
"3107",116,"Orchid Beach","Fraser Island","Australia","OKB","KOKB",-24.95841,153.3145,6,-10,"O","UTC+-10"
"5188",117,"Paraburdoo Airport","","Australia","PBO","YPBO",-23.1711,117.745,1406,8,"O","UTC+8"
"5191",118,"Parkes Airport","","Australia","PKE","YPKS",-33.1314,148.239,1069,10,"O","UTC+10"
"6358",119,"Penneshaw Airport","Penneshaw","Australia","PEA","YPSH",-34.75,137.933,0,9.5,"O","UTC+9:30"
"3256",120,"Perth Intl","Perth","Australia","PER","YPPH",-31.940278,115.966944,67,8,"N","UTC+8"
"3249",121,"Perth Jandakot","Perth","Australia","JAD","YPJT",-32.0975,115.881111,99,8,"O","UTC+8"
"5193",122,"Pormpuraaw Airport","","Australia","EDR","YPMP",-14.8967,141.609,10,10,"O","UTC+10"
"5186",123,"Port Augusta Airport","Argyle","Australia","PUG","YPAG",-32.506944,137.716667,56,9.5,"O","UTC+9:30"
"3254",124,"Port Hedland Intl","Port Hedland","Australia","PHE","YPPD",-20.377778,118.626389,33,8,"O","UTC+8"
"5192",125,"Port Lincoln Airport","","Australia","PLO","YPLC",-34.6053,135.88,36,9.5,"O","UTC+9:30"
"5194",126,"Port Macquarie Airport","","Australia","PQQ","YPMQ",-31.4358,152.863,12,10,"O","UTC+10"
"5195",127,"Portland Airport","","Australia","PTJ","YPOD",-38.3181,141.471,265,10,"O","UTC+10"
"3234",128,"Proserpine Whitsunday Coast","Prosserpine","Australia","PPP","YBPN",-20.495,148.552222,82,10,"O","UTC+10"
"5196",129,"Quilpie Airport","","Australia","ULP","YQLP",-26.6122,144.253,655,10,"O","UTC+10"
"5197",130,"Ramingining Airport","","Australia","RAM","YRNG",-12.3564,134.898,206,9.5,"O","UTC+9:30"
"6153",131,"Ravensthorpe Airport","Ravensthorpe","Australia","RVT","YNRV",-33.797222,120.208056,209,8,"U","UTC+8"
"6920",132,"Renmark","Renmark","Australia","RMK","YREN",-34.118,140.404,115,9.5,"O","UTC+9:30"
"3265",133,"Richmond","Richmond","Australia","RCM","YSRI",-33.600556,150.780833,67,10,"O","UTC+10"
"3235",134,"Rockhampton","Rockhampton","Australia","ROK","YBRK",-23.381944,150.475278,34,10,"O","UTC+10"
"5198",135,"Roma Airport","","Australia","RMA","YROM",-26.545,148.775,1032,10,"O","UTC+10"
"2194",136,"Scone Airport","Scone","Australia","NSO","YSCO",-32.0372,150.832,745,10,"O","UTC+10"
"5200",137,"Shark Bay Airport","","Australia","DNM","YSHK",-25.8939,113.577,111,8,"O","UTC+8"
"5199",138,"St George Airport","","Australia","SGO","YSGE",-28.0497,148.595,656,10,"O","UTC+10"
"3259",139,"Sydney Bankstown","Sydney","Australia","BWU","YSBK",-33.924444,150.988333,29,10,"O","UTC+10"
"3266",140,"Sydney Intl","Sydney","Australia","SYD","YSSY",-33.946111,151.177222,21,10,"O","UTC+10"
